data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5546320,804,UKR22104,22104,"27 June 2019",2019,1,Riots,"Mob violence","Rioters (Ukraine)",,5,"Civilians (Ukraine)","Journalists (Ukraine); Stop Corruption",7,57,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Stop Corruption; Ukrayinska Pravda; Novoye Vremya Ukraine",National,"On 27 June, a group of about 30 people encircled Stop Corruption journalists and rammed their car into the journalists' car in Odessa where the crew was investigating the activity of a judge. The car was damaged, no injuries were reported. [size=about 30]",0,1562095081,UKR
5546157,804,UKR21941,21941,"24 June 2019",2019,1,Protests,"Protest with intervention","Protesters (Ukraine)",,6,"Rioters (Ukraine)","Labour Group (Ukraine)",5,56,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,Segodnya,National,"On 24 June, people blocked several roads in Odessa, letting only passengers cars through and demanding that trucks weighing more than 10 tons do not use these roads as it leads to their destruction. Some truck drivers scuffled with the protesters. [size=no report]",0,1562095080,UKR
5534827,804,UKR21184,,"28 May 2019",2019,1,Riots,"Mob violence","Rioters (Ukraine)",,5,"Civilians (Ukraine)","Labour Group (Ukraine)",7,57,Europe,Ukraine,Lviv,"Lviv Municipality",,Lviv,49.8407,24.0305,1,"Lvivskyi Portal",Subnational,"On 28 May, unidentified individuals set fire to a branch office of the largest Russian private bank in Lviv. The building was partially damaged but no one was injured.",0,1561482244,UKR
5539326,804,UKR20576,20576,"27 May 2019",2019,1,Riots,"Mob violence","Rioters (Ukraine)","Prisoners (Ukraine)",5,"Military Forces of Ukraine (2014-) National Guard","Police Forces of Ukraine (2014-) Prison Guards; Civilians (Ukraine)",1,15,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Dumskaya; One Plus One; Liveuamap; AP; Bykvu; AFP; Novyny; RFE/RL",Other-Subnational,"On 27 May, between 100 and 500 prisoners rioted in an Odessa penal colony because of bad living conditions, searches in cells and mass beatings. The rioters set fire to a guard room and a car and barricaded themselves after taking three guards and three medical workers hostage. Several hundred National Guard officers were deployed to suppress the riot, about 15 prison employees and law enforcers were injured. [size=100-500]",0,1561483073,UKR
5545886,300,GRC762,762,"21 May 2019",2019,1,Riots,"Mob violence","Rioters (Greece)","Far Left Group (Greece)",5,,,0,50,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,Ekathimerini,National,"On 21 May, supporters of Dimitris Koufodinas damaged two bank ATMs in the northern suburb of Aghia Paraskevi and in Kypseli in what is being treated as part of a string of violent incidents sparked by the rejection of the jailed November 17 hitman's furlough request and his decision to go on hunger strike. [size=no report]",0,1562095080,GRC
5545879,300,GRC754,754,"20 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Greece)","Far Left Group (Greece)",5,"Civilians (Greece)","ND: New Democracy; Police Forces of Greece (2015-)",7,57,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,"AMNA; To Vima; Ekathimerini",National,"On 20 May, ahead of the Supreme Court convening the following day regarding the furlough of hunger-striking Dimitris Koufodinas, his supporters targeted campaign offices of opposition party New Democracy in Alimos and in Nea Ionia in Athens breaking windows and setting them on fire with homemade explosive devices; they also smashed ATMs and later in the day set off from three university campuses to move dumpsters on Patission street in central Athens to set them on fire. The most serious incident occurred at the Athens University of Economics and Business involving 20 hooded individuals. Police detained 20 people that were released later except for two migrants that were arrested for not having the necessary permits to be in the country. No injuries were reported. [size=at least 20]",0,1562095080,GRC
5192425,300,GRC747,747,"18 May 2019",2019,1,Riots,"Mob violence","Rioters (Greece)",,5,"Police Forces of Greece (2015-) Units for the Reinstatement of Order",,1,15,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,"To Vima",National,"On 18 May, in the early hours, hooded assailants launched consecutive attacks with Molotov cocktails in various areas in Attica where MAT riot police units were stationed. Initially, there were two attacks in Exarchia setting a car ablaze, followed by attacks in another 11 areas setting fires in garbage collection bins and setting one more car ablaze. According to police reports, there were no injuries and no detentions or arrests. [size=no report]",0,1558455859,GRC
5192404,300,GRC726,726,"13 May 2019",2019,1,Riots,"Mob violence","Rioters (Greece)",,5,"Civilians (Greece)","SYRIZA: Coalition of the Radical Left",7,57,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,"To Vima",National,"On 13 May, supporters of Dimitris Koufodinas targeted the central offices of SYRIZA and another five SYRIZA offices in western Athens causing material damage and splashing paint. On the same day, they rallied in front of the Acropolis museum and unfurled a banner demonstrating against the rejection of a seventh furlough for the jailed hitman of the now defunct group November 17, who is on hunger strike. [size=no report]",0,1558455859,GRC
5180699,300,GRC722,722,"10 May 2019",2019,1,Riots,"Mob violence","Rioters (Greece)",,5,"Civilians (Greece)",,7,57,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,3,"To Vima",National,"On 10 May, unidentified assailants vandalised the campaign offices in various Attica locations [unspecified, coded to Athens] of the ""New Beginning in Attica"" candidate mayor for Athens. [size=no report]",0,1557848407,GRC
5211270,804,UKR20532,20532,"07 May 2019",2019,1,Riots,"Mob violence","Rioters (Ukraine)",,5,"Civilians (Ukraine)","Journalists (Ukraine)",7,57,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Human Rights Information Centre",National,"On 7 May, unidentified individuals poured a bucket of raw sewage on a local journalist in Odessa after she wrote critically about construction on the territory of an open-air theatre.",0,1559689850,UKR
5142171,804,UKR18867,18867,"19 April 2019",2019,1,Protests,"Protest with intervention","Protesters (Ukraine)",,6,"Protesters (Ukraine)","BPP-S: Petro Poroshenko Bloc-Solidarity; Police Forces of Ukraine (2014-)",6,66,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Liveuamap; Bykvu",Other-National,"On 19 April, a group of deputies of the Petro Poroshenko Bloc supported a demonstration of activists against the use of an open-air theatre for concerts in Odessa. Another group of people poured a bucket of raw sewage on the deputies. Two people were arrested. [size=no report]",0,1556032413,UKR
5538601,804,UKR17990,17990,"30 March 2019",2019,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)","Military Forces of Ukraine (2014-) National Guard",7,37,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"5 Kanal; Liveuamap; Ministry of Internal Affairs of Ukraine",Other-National,"On 30 March, after a car hit three National Guard soldiers in Odessa, killing one of them and severely wounding the other two, an unidentified man approached the victims and started beating them [fatality not coded being a result of a road accident].",0,1561483066,UKR
5535459,112,BLR146,146,"24 March 2019",2019,1,Protests,"Protest with intervention","Protesters (Belarus)","BCD: Belarusian Christian Democracy; MF: Young Front",6,"Police Forces of Belarus (1994-)",,1,16,Europe,Belarus,Minsk,"City of Minsk",,Minsk,53.9,27.5667,1,"RFE/RL; AP; Viasna; Svaboda.org",National-International,"On 24 March, a commemoration rally of about 2000 people [size=2000] took place in Minsk's Kyiv Square to celebrate the 101st anniversary of the Belarusian People's Republic. Zmitser Dashkevich of the Young Front was arrested after an anti-governmental speech, while a political activist Natalya Basalyga and a BCD member Vitaly Rymashevsky were arrested during the rally.",0,1561483030,BLR
5081656,300,GRC608,608,"20 March 2019",2019,1,"Violence against civilians",Attack,"Police Forces of Greece (2015-)",,1,"Civilians (Guinea)","Refugees/IDPs (Guinea)",7,17,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,"To Pontiki",National,"On 20 March, police in Athens beat and insulted an asylum-seeker from Guinea who was trying to receive the 90 euros allocated to refugees by UNHCR. The police officers arrested him using excessive force, holding him down on the pavement and kicking his leg on a pre-existing injury from torture and punching him on the face and back. When he requested to go to hospital they said ""Die here, not in hospital"" and ""Black go back to your country"".",0,1553853272,GRC
5102173,804,UKR16586,16586,"26 February 2019",2019,1,Protests,"Protest with intervention","Protesters (Ukraine)",,6,"Police Forces of Ukraine (2014-)",,1,16,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Human Rights Information Centre",National,"On 26 February, activists held a demonstration [size= no report] near a seaport in Odessa demanding an effective investigation into the murder of Kateryna Hanzyuk. Two of the activists were arrested and soon released.",0,1553853296,UKR
5084566,643,RUS1764,1764,"14 February 2019",2019,1,"Violence against civilians","Abduction/forced disappearance","Police Forces of Russia (2000-)",,1,"Civilians (Tajikistan)","NAT: National Alliance of Tajikistan",7,17,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,2,"BBC Monitoring",International,"On February 14, 2019, Sharofiddin Gadoyev, a Tajik opposition politician and deputy leader of the National Alliance of Tajikistan, was reportedly abducted in Moscow while meeting with Russian security officials and transported to Tajikistan against his will. Tajik authorities released a statement that Gadoyev returned to Tajikistan of his own free will, but on February 20 NAT released a pre-recorded statement of Gadoyev stating that he had no intentions of returning to Tajikistan and that the video is a precaution to be released on an event of his death or disappearance.",0,1553853275,RUS
5536255,643,RUS1689,1689,"01 February 2019",2019,1,"Violence against civilians",Attack,"Police Forces of Russia (2000-)",,1,"Civilians (Russia)","NO: People's Defence",7,17,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,"Meduza; Interfax; Kommersant; Avtonom.ru; RFE/RL; OVD Info",National-International,"On Friday, February 1, 2019, Moscow police detained at least 6 individuals thought to be members of various anarchist groups, including People's Defence (Narodnaya Oborona). Some of the detained are allegedly suspected of planting a fake bomb in Balashiha. 5 of the detainees were later released, but the remaining one, Azat Miftahov, a student at MGU, was being held without access to a lawyer and was being tortured in detention. The released detainees also reported being tortured.",0,1561483035,RUS
5537916,804,UKR14808,14808,"15 January 2019",2019,1,Riots,"Violent demonstration","Rioters (Ukraine)",,5,"Police Forces of Ukraine (2014-)",,1,15,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Ukraine General Newswire; Interfax; Dumskaya; Liveuamap; Ukrayinska Pravda; OSCE SMM-Ukraine",Other-Subnational,"On Jan. 15 2019, up to 30 people gathered outside of the Consulate General of the Russian Federation in Odessa, Ukraine, to express support of Ukrainian Navy servicemen detained by Russia. Two people were arrested after the protesters began to splash red paint near the building.",0,1561483059,UKR
5084438,643,RUS1636,1636,"09 January 2019",2019,1,"Violence against civilians",Attack,"Unidentified Armed Group (Russia)",,3,"Civilians (Russia)","KPRF: Communist Party of the Russian Federation",7,37,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,2,Meduza,National,"On Wednesday, January 9, 2019, unknown assailants assaulted Kirill Chirkin, a municipal deputy of the Lomonosov district from KPRF. Chirkin didn't report any major injuries as a result of the attack.",0,1553853275,RUS
5537802,804,UKR14115,14115,"25 December 2018",2018,1,Protests,"Protest with intervention","Protesters (Ukraine)","AutoMaidan; National Corps Party",6,"Police Forces of Ukraine (2014-)",,1,16,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Hromadske Radio; Novyny; Liveuamap",Other-National,"On Dec. 25 2018, local residents, AutoMaidan activists and members of National Corps gathered near a World War II memorial in Odessa, Ukraine, and dismantled a construction fence there claiming it was erected illegally. Three people were detained, including the leader of the Odessa AutoMaidan Vitalii Ustymenko.",0,1561483059,UKR
5536213,643,RUS1550,1550,"03 December 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Russia)",,3,"Civilians (Russia)",Alternativa,7,37,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,3,"RFE/RL; Meduza",National-International,"On Monday, December 3, an unknown assailant attacked and stabbed Oleg Melnikov - the founder of Alternativa, a movement against modern slavery near his residence in the Moscow region. Melnikov was stabbed 3 times but didn't sustain major injuries and left the hospital that same day.",0,1561483035,RUS
5535619,300,GRC290,290,"29 November 2018",2018,1,Riots,"Violent demonstration","Rioters (Greece)","Students (Greece)",5,"Police Forces of Greece (2015-)",,1,15,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,"AP; Ekathimerini",National-International,"On Nov. 29, 2018: Around 100 students, after demonstrating against the name deal between Greece and Macedonia, threw stones at police, who fired tear gas to disperse them. Four rioters, all minors, were arrested for public disturbance.",0,1561483030,GRC
